economy,period,lsci_value
El Salvador,2007Q01,25.99194
Equatorial Guinea,2007Q01,22.63105
Eritrea,2007Q01,13.0856
Estonia,2007Q01,29.63464
Faroe Islands,2007Q01,12.26472
Fiji,2007Q01,46.31567
Finland,2007Q01,89.21895
France,2007Q01,304.1624
French Guiana,2007Q01,20.80534
French Polynesia,2007Q01,43.8703
Gabon,2007Q01,38.15338
Gambia,2007Q01,13.02704
Georgia,2007Q01,16.55852
Germany,2007Q01,469.93541
Ghana,2007Q01,85.31121
Gibraltar,2007Q01,8.81957
Greece,2007Q01,109.83485
Grenada,2007Q01,27.91564
Guadeloupe,2007Q01,35.11359
Guam,2007Q01,22.89526
Guatemala,2007Q01,84.31874
Guernsey,2007Q01,4.75538
Guinea,2007Q01,33.18003
Guinea-Bissau,2007Q01,14.90269
Guyana,2007Q01,32.28722
Haiti,2007Q01,24.10622
Honduras,2007Q01,61.56311
Iceland,2007Q01,19.32718
India,2007Q01,224.36228
Indonesia,2007Q01,224.74107
